sampleid	read_count	percentage_nonresident_reads	Project_ID	Case_Control	Disease_Level_1	Disease_Level_2
SRR8536968	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536973	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536975	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536976	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536978	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536983	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537000	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537004	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537005	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537010	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537016	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537021	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537025	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8537149	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
DRR352774	2999	0.000	PRJDB13192	Control	Infectious	COVID-19
ERR4264878	2999	0.000	PRJEB38930	Control	Other	AN
ERR4264983	2999	0.000	PRJEB38930	Case	Other	AN
ERR5051442	2999	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR6295997	2999	0.000	PRJEB46343	Control	Infectious	HIV
ERR6296003	2999	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296022	2999	0.000	PRJEB46343	Case	Infectious	HIV
S707	2999	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S773	2999	0.000	crohns-paper_37122605	Control	Gastrointestinal	IBD
S811	2999	0.000	crohns-paper_37122605	Control	Gastrointestinal	IBD
S845	2999	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505053	2999	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505147	2999	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR11098561	2999	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR12268328	2999	0.000	PRJNA647266	Control	Other	CKD
SRR12268458	2999	0.000	PRJNA647266	Control	Other	CKD
SRR12268472	2999	0.000	PRJNA647266	Control	Other	CKD
SRR12268511	2999	0.000	PRJNA647266	Control	Other	CKD
SRR14200648	2999	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200679	2999	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200754	2999	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200756	2999	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14736959	2999	0.000	PRJNA735021	Case	Autoimmune	RA
SRR15323180	2999	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323193	2999	0.000	PRJNA751473	Case	Autoimmune	AD
SRR17285776	2999	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285795	2999	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285864	2999	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285866	2999	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285867	2999	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285870	2999	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285873	2999	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17286003	2999	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17286006	2999	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17430144	2999	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR17430174	2999	0.000	PRJNA794154	Case	Infectious	COVID-19
SRR17430186	2999	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR17430187	2999	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR20665786	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665797	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665798	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665816	2999	0.000	PRJNA778607	Control	Infectious	HD
SRR20665823	2999	0.000	PRJNA778607	Control	Infectious	HD
SRR20665840	2999	0.000	PRJNA778607	Control	Infectious	HD
SRR20665852	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665858	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665865	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665867	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR20665870	2999	0.000	PRJNA778607	Case	Infectious	HD
SRR6308475	2999	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308478	2999	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308480	2999	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308492	2999	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308505	2999	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308526	2999	0.000	PRJNA419104	Control	Infectious	CDI
DRR352741	2998	0.001	PRJDB13192	Case	Infectious	COVID-19
DRR352760	2998	0.001	PRJDB13192	Control	Infectious	COVID-19
DRR352795	2998	0.001	PRJDB13192	Case	Infectious	COVID-19
ERR4264859	2998	0.001	PRJEB38930	Control	Other	AN
ERR5051429	2998	0.001	PRJEB42375	Case	Gastrointestinal	IBS
S764	2998	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
S807	2998	0.001	crohns-paper_37122605	Control	Gastrointestinal	IBD
S832	2998	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
S841	2998	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505126	2998	0.001	PRJNA590898	Control	Gastrointestinal	IBD
SRR11098577	2998	0.001	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098596	2998	0.001	PRJNA607176	Control	Gastrointestinal	IBD
SRR12268379	2998	0.001	PRJNA647266	Case	Other	CKD
SRR12613972	2998	0.001	PRJNA662173	Case	Metabolic	T2DM
SRR14200707	2998	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR15323198	2998	0.001	PRJNA751473	Control	Autoimmune	AD
SRR15323204	2998	0.001	PRJNA751473	Control	Autoimmune	AD
SRR17285787	2998	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285790	2998	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285835	2998	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285874	2998	0.001	PRJNA791216	Control	Autoimmune	RA
SRR17285896	2998	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285901	2998	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17430148	2998	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR17430160	2998	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR17430188	2998	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR20665775	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR20665776	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR20665789	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR20665827	2998	0.001	PRJNA778607	Control	Infectious	HD
SRR20665854	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR20665876	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR20665878	2998	0.001	PRJNA778607	Case	Infectious	HD
SRR6308464	2998	0.001	PRJNA419104	Control	Infectious	CDI
SRR6308477	2998	0.001	PRJNA419104	Case	Infectious	CDI
SRR6308518	2998	0.001	PRJNA419104	Control	Infectious	CDI
SRR8536915	2998	0.001	PRJNA517994	Control	Liver	Alcohol-Associated-LD
DRR352728	2997	0.001	PRJDB13192	Case	Infectious	COVID-19
ERR4264898	2997	0.001	PRJEB38930	Case	Other	AN
ERR4264902	2997	0.001	PRJEB38930	Case	Other	AN
ERR4264915	2997	0.001	PRJEB38930	Case	Other	AN
ERR4264955	2997	0.001	PRJEB38930	Case	Other	AN
ERR5051456	2997	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051466	2997	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051481	2997	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051487	2997	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051496	2997	0.001	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051538	2997	0.001	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051555	2997	0.001	PRJEB42375	Control	Gastrointestinal	IBS
ERR6296024	2997	0.001	PRJEB46343	Case	Infectious	HIV
S691	2997	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
S812	2997	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505117	2997	0.001	PRJNA590898	Case	Gastrointestinal	IBD
SRR12268436	2997	0.001	PRJNA647266	Control	Other	CKD
SRR14200724	2997	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200784	2997	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200864	2997	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR15323188	2997	0.001	PRJNA751473	Case	Autoimmune	AD
SRR15323202	2997	0.001	PRJNA751473	Control	Autoimmune	AD
SRR15323208	2997	0.001	PRJNA751473	Control	Autoimmune	AD
SRR15531545	2997	0.001	PRJNA756382	Control	Metabolic	T1DM
SRR17285840	2997	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285992	2997	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17286000	2997	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17430150	2997	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR17430162	2997	0.001	PRJNA794154	Case	Infectious	COVID-19
SRR17430168	2997	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR17430171	2997	0.001	PRJNA794154	Case	Infectious	COVID-19
SRR17430173	2997	0.001	PRJNA794154	Case	Infectious	COVID-19
SRR18268057	2997	0.001	PRJNA813503	Case	Metabolic	GDM
SRR20665778	2997	0.001	PRJNA778607	Case	Infectious	HD
SRR20665783	2997	0.001	PRJNA778607	Case	Infectious	HD
SRR20665828	2997	0.001	PRJNA778607	Control	Infectious	HD
SRR20665848	2997	0.001	PRJNA778607	Case	Infectious	HD
SRR20665849	2997	0.001	PRJNA778607	Case	Infectious	HD
SRR20665862	2997	0.001	PRJNA778607	Case	Infectious	HD
SRR6308459	2997	0.001	PRJNA419104	Case	Infectious	CDI
SRR6308460	2997	0.001	PRJNA419104	Case	Infectious	CDI
SRR6308501	2997	0.001	PRJNA419104	Case	Infectious	CDI
SRR8536977	2997	0.001	PRJNA517994	Case	Liver	Alcohol-Associated-LD
ERR4264912	2996	0.001	PRJEB38930	Case	Other	AN
ERR4265003	2996	0.001	PRJEB38930	Control	Other	AN
ERR5051426	2996	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051436	2996	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051472	2996	0.001	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051505	2996	0.001	PRJEB42375	Control	Gastrointestinal	IBS
S785	2996	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
S940	2996	0.001	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505065	2996	0.001	PRJNA590898	Case	Gastrointestinal	IBD
SRR11098613	2996	0.001	PRJNA607176	Case	Gastrointestinal	IBD
SRR12268425	2996	0.001	PRJNA647266	Control	Other	CKD
SRR12268475	2996	0.001	PRJNA647266	Control	Other	CKD
SRR12268522	2996	0.001	PRJNA647266	Case	Other	CKD
SRR12613992	2996	0.001	PRJNA662173	Case	Metabolic	T2DM
SRR14200642	2996	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200699	2996	0.001	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR15323209	2996	0.001	PRJNA751473	Control	Autoimmune	AD
SRR17285778	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285781	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285846	2996	0.001	PRJNA791216	Control	Autoimmune	RA
SRR17285857	2996	0.001	PRJNA791216	Control	Autoimmune	RA
SRR17285879	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285882	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17285888	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17286001	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17286004	2996	0.001	PRJNA791216	Case	Autoimmune	RA
SRR17430157	2996	0.001	PRJNA794154	Control	Infectious	COVID-19
SRR17430164	2996	0.001	PRJNA794154	Case	Infectious	COVID-19
SRR17430170	2996	0.001	PRJNA794154	Case	Infectious	COVID-19
ERR5051439	2995	0.002	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051464	2995	0.002	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051532	2995	0.002	PRJEB42375	Control	Gastrointestinal	IBS
ERR6296009	2995	0.002	PRJEB46343	Case	Infectious	HIV
S794	2995	0.002	crohns-paper_37122605	Case	Gastrointestinal	IBD
S805	2995	0.002	crohns-paper_37122605	Control	Gastrointestinal	IBD
S813	2995	0.002	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505116	2995	0.002	PRJNA590898	Case	Gastrointestinal	IBD
SRR11098589	2995	0.002	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098616	2995	0.002	PRJNA607176	Case	Gastrointestinal	IBD
SRR12268415	2995	0.002	PRJNA647266	Control	Other	CKD
SRR12268518	2995	0.002	PRJNA647266	Control	Other	CKD
SRR13762679	2995	0.002	PRJNA698272	Case	Liver	NAFLD
SRR13762759	2995	0.002	PRJNA698272	Case	Liver	NAFLD
SRR14736972	2995	0.002	PRJNA735021	Control	Autoimmune	RA
SRR15323189	2995	0.002	PRJNA751473	Case	Autoimmune	AD
SRR15323192	2995	0.002	PRJNA751473	Case	Autoimmune	AD
SRR17285792	2995	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285805	2995	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285876	2995	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285886	2995	0.002	PRJNA791216	Case	Autoimmune	RA
DRR352790	2994	0.002	PRJDB13192	Case	Infectious	COVID-19
DRR352797	2994	0.002	PRJDB13192	Case	Infectious	COVID-19
DRR352803	2994	0.002	PRJDB13192	Case	Infectious	COVID-19
ERR4264861	2994	0.002	PRJEB38930	Case	Other	AN
ERR5051512	2994	0.002	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051539	2994	0.002	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051540	2994	0.002	PRJEB42375	Control	Gastrointestinal	IBS
S826	2994	0.002	crohns-paper_37122605	Case	Gastrointestinal	IBD
S950	2994	0.002	crohns-paper_37122605	Control	Gastrointestinal	IBD
SRR14200794	2994	0.002	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR15323211	2994	0.002	PRJNA751473	Control	Autoimmune	AD
SRR17285797	2994	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285907	2994	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285984	2994	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17430156	2994	0.002	PRJNA794154	Control	Infectious	COVID-19
SRR17430181	2994	0.002	PRJNA794154	Case	Infectious	COVID-19
SRR18267994	2994	0.002	PRJNA813503	Control	Metabolic	GDM
SRR20665855	2994	0.002	PRJNA778607	Case	Infectious	HD
SRR20665873	2994	0.002	PRJNA778607	Case	Infectious	HD
SRR6308449	2994	0.002	PRJNA419104	Control	Infectious	CDI
DRR352753	2993	0.002	PRJDB13192	Case	Infectious	COVID-19
ERR4264952	2993	0.002	PRJEB38930	Control	Other	AN
ERR5051465	2993	0.002	PRJEB42375	Case	Gastrointestinal	IBS
ERR6296002	2993	0.002	PRJEB46343	Case	Infectious	HIV
S792	2993	0.002	crohns-paper_37122605	Case	Gastrointestinal	IBD
S924	2993	0.002	crohns-paper_37122605	Case	Gastrointestinal	IBD
S926	2993	0.002	crohns-paper_37122605	Control	Gastrointestinal	IBD
SRR11098617	2993	0.002	PRJNA607176	Case	Gastrointestinal	IBD
SRR12268426	2993	0.002	PRJNA647266	Control	Other	CKD
SRR17285780	2993	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285889	2993	0.002	PRJNA791216	Case	Autoimmune	RA
SRR17285997	2993	0.002	PRJNA791216	Case	Autoimmune	RA
SRR18267988	2993	0.002	PRJNA813503	Control	Metabolic	GDM
SRR20665795	2993	0.002	PRJNA778607	Case	Infectious	HD
SRR20665807	2993	0.002	PRJNA778607	Control	Infectious	HD
SRR20665826	2993	0.002	PRJNA778607	Control	Infectious	HD
SRR20665860	2993	0.002	PRJNA778607	Case	Infectious	HD
SRR20665863	2993	0.002	PRJNA778607	Case	Infectious	HD
SRR6308471	2993	0.002	PRJNA419104	Case	Infectious	CDI
ERR5051425	2992	0.003	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051469	2992	0.003	PRJEB42375	Case	Gastrointestinal	IBS
S838	2992	0.003	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505124	2992	0.003	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505125	2992	0.003	PRJNA590898	Control	Gastrointestinal	IBD
SRR12268413	2992	0.003	PRJNA647266	Control	Other	CKD
SRR12613986	2992	0.003	PRJNA662173	Case	Metabolic	T2DM
SRR15323178	2992	0.003	PRJNA751473	Case	Autoimmune	AD
SRR15323196	2992	0.003	PRJNA751473	Control	Autoimmune	AD
SRR17285837	2992	0.003	PRJNA791216	Case	Autoimmune	RA
SRR17285884	2992	0.003	PRJNA791216	Case	Autoimmune	RA
SRR17430153	2992	0.003	PRJNA794154	Control	Infectious	COVID-19
SRR20665779	2992	0.003	PRJNA778607	Case	Infectious	HD
SRR20665788	2992	0.003	PRJNA778607	Case	Infectious	HD
SRR20665825	2992	0.003	PRJNA778607	Control	Infectious	HD
SRR20665864	2992	0.003	PRJNA778607	Case	Infectious	HD
SRR6308469	2992	0.003	PRJNA419104	Case	Infectious	CDI
ERR3711788	2991	0.003	PRJEB35665	Case	Cancer	Melanoma
ERR4264914	2991	0.003	PRJEB38930	Case	Other	AN
ERR5051492	2991	0.003	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051545	2991	0.003	PRJEB42375	Control	Gastrointestinal	IBS
S916	2991	0.003	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505127	2991	0.003	PRJNA590898	Control	Gastrointestinal	IBD
SRR12268312	2991	0.003	PRJNA647266	Control	Other	CKD
SRR15323207	2991	0.003	PRJNA751473	Control	Autoimmune	AD
SRR17285785	2991	0.003	PRJNA791216	Case	Autoimmune	RA
SRR17285855	2991	0.003	PRJNA791216	Control	Autoimmune	RA
SRR17430165	2991	0.003	PRJNA794154	Case	Infectious	COVID-19
SRR6308473	2991	0.003	PRJNA419104	Case	Infectious	CDI
ERR4264976	2990	0.003	PRJEB38930	Control	Other	AN
ERR5051473	2990	0.003	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051485	2990	0.003	PRJEB42375	Case	Gastrointestinal	IBS
S848	2990	0.003	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR12268319	2990	0.003	PRJNA647266	Control	Other	CKD
SRR14736951	2990	0.003	PRJNA735021	Case	Autoimmune	RA
SRR14737010	2990	0.003	PRJNA735021	Case	Autoimmune	RA
SRR17430177	2990	0.003	PRJNA794154	Case	Infectious	COVID-19
SRR20665815	2990	0.003	PRJNA778607	Control	Infectious	HD
SRR20665817	2990	0.003	PRJNA778607	Control	Infectious	HD
ERR4264991	2989	0.004	PRJEB38930	Case	Other	AN
ERR6296020	2989	0.004	PRJEB46343	Case	Infectious	HIV
S782	2989	0.004	crohns-paper_37122605	Case	Gastrointestinal	IBD
S797	2989	0.004	crohns-paper_37122605	Control	Gastrointestinal	IBD
S910	2989	0.004	crohns-paper_37122605	Control	Gastrointestinal	IBD
SRR12268349	2989	0.004	PRJNA647266	Case	Other	CKD
SRR14200788	2989	0.004	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17285833	2989	0.004	PRJNA791216	Case	Autoimmune	RA
ERR5051489	2988	0.004	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051491	2988	0.004	PRJEB42375	Case	Gastrointestinal	IBS
S798	2988	0.004	crohns-paper_37122605	Control	Gastrointestinal	IBD
S844	2988	0.004	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505056	2988	0.004	PRJNA590898	Case	Gastrointestinal	IBD
SRR14200641	2988	0.004	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200882	2988	0.004	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR17285832	2988	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17285838	2988	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17285843	2988	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17285881	2988	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17430143	2988	0.004	PRJNA794154	Case	Infectious	COVID-19
SRR17430183	2988	0.004	PRJNA794154	Case	Infectious	COVID-19
SRR20665780	2988	0.004	PRJNA778607	Case	Infectious	HD
SRR8536916	2988	0.004	PRJNA517994	Control	Liver	Alcohol-Associated-LD
ERR4264946	2987	0.004	PRJEB38930	Control	Other	AN
ERR5051455	2987	0.004	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051462	2987	0.004	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051518	2987	0.004	PRJEB42375	Control	Gastrointestinal	IBS
ERR6296021	2987	0.004	PRJEB46343	Case	Infectious	HIV
SRR11098562	2987	0.004	PRJNA607176	Control	Gastrointestinal	IBD
SRR17285800	2987	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17285831	2987	0.004	PRJNA791216	Case	Autoimmune	RA
SRR17430141	2987	0.004	PRJNA794154	Case	Infectious	COVID-19
SRR17430169	2987	0.004	PRJNA794154	Control	Infectious	COVID-19
SRR17430185	2987	0.004	PRJNA794154	Control	Infectious	COVID-19
SRR20665784	2987	0.004	PRJNA778607	Case	Infectious	HD
SRR20665868	2987	0.004	PRJNA778607	Case	Infectious	HD
ERR5051433	2986	0.005	PRJEB42375	Case	Gastrointestinal	IBS
S820	2986	0.005	crohns-paper_37122605	Case	Gastrointestinal	IBD
S839	2986	0.005	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR11098565	2986	0.005	PRJNA607176	Control	Gastrointestinal	IBD
SRR12268288	2986	0.005	PRJNA647266	Control	Other	CKD
SRR12268330	2986	0.005	PRJNA647266	Case	Other	CKD
SRR12268510	2986	0.005	PRJNA647266	Control	Other	CKD
SRR15323185	2986	0.005	PRJNA751473	Case	Autoimmune	AD
SRR17285983	2986	0.005	PRJNA791216	Case	Autoimmune	RA
SRR18268016	2986	0.005	PRJNA813503	Control	Metabolic	GDM
SRR18268047	2986	0.005	PRJNA813503	Case	Metabolic	GDM
SRR18268060	2986	0.005	PRJNA813503	Case	Metabolic	GDM
SRR18268068	2986	0.005	PRJNA813503	Case	Metabolic	GDM
SRR20665791	2986	0.005	PRJNA778607	Case	Infectious	HD
ERR4264877	2985	0.005	PRJEB38930	Control	Other	AN
ERR4264942	2985	0.005	PRJEB38930	Control	Other	AN
ERR5051471	2985	0.005	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051527	2985	0.005	PRJEB42375	Control	Gastrointestinal	IBS
S699	2985	0.005	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR12268289	2985	0.005	PRJNA647266	Control	Other	CKD
SRR15323183	2985	0.005	PRJNA751473	Case	Autoimmune	AD
SRR17285902	2985	0.005	PRJNA791216	Case	Autoimmune	RA
SRR17285976	2985	0.005	PRJNA791216	Case	Autoimmune	RA
SRR20665812	2985	0.005	PRJNA778607	Control	Infectious	HD
SRR20665841	2985	0.005	PRJNA778607	Control	Infectious	HD
DRR352788	2984	0.005	PRJDB13192	Case	Infectious	COVID-19
DRR352798	2984	0.005	PRJDB13192	Case	Infectious	COVID-19
ERR5051446	2984	0.005	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051517	2984	0.005	PRJEB42375	Control	Gastrointestinal	IBS
ERR6296011	2984	0.005	PRJEB46343	Case	Infectious	HIV
S863	2984	0.005	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR11098620	2984	0.005	PRJNA607176	Case	Gastrointestinal	IBD
SRR14200638	2984	0.005	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR15323182	2984	0.005	PRJNA751473	Case	Autoimmune	AD
SRR17285998	2984	0.005	PRJNA791216	Case	Autoimmune	RA
SRR18268049	2984	0.005	PRJNA813503	Case	Metabolic	GDM
SRR18268054	2984	0.005	PRJNA813503	Case	Metabolic	GDM
SRR20665821	2984	0.005	PRJNA778607	Control	Infectious	HD
SRR20665856	2984	0.005	PRJNA778607	Case	Infectious	HD
S775	2983	0.006	crohns-paper_37122605	Control	Gastrointestinal	IBD
S777	2983	0.006	crohns-paper_37122605	Control	Gastrointestinal	IBD
S876	2983	0.006	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR13762705	2983	0.006	PRJNA698272	Case	Liver	NAFLD
SRR14737023	2983	0.006	PRJNA735021	Case	Autoimmune	RA
SRR18268034	2983	0.006	PRJNA813503	Control	Metabolic	GDM
SRR20665819	2983	0.006	PRJNA778607	Control	Infectious	HD
SRR20665838	2983	0.006	PRJNA778607	Control	Infectious	HD
ERR5051457	2982	0.006	PRJEB42375	Case	Gastrointestinal	IBS
S784	2982	0.006	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR11098584	2982	0.006	PRJNA607176	Case	Gastrointestinal	IBD
SRR17285845	2982	0.006	PRJNA791216	Control	Autoimmune	RA
SRR17285990	2982	0.006	PRJNA791216	Case	Autoimmune	RA
SRR17286002	2982	0.006	PRJNA791216	Case	Autoimmune	RA
ERR4264888	2981	0.006	PRJEB38930	Case	Other	AN
SRR14200763	2981	0.006	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17285786	2981	0.006	PRJNA791216	Case	Autoimmune	RA
SRR20665802	2981	0.006	PRJNA778607	Control	Infectious	HD
SRR20665822	2981	0.006	PRJNA778607	Control	Infectious	HD
SRR20665842	2981	0.006	PRJNA778607	Control	Infectious	HD
SRR6308452	2981	0.006	PRJNA419104	Control	Infectious	CDI
ERR5051419	2980	0.007	PRJEB42375	Case	Gastrointestinal	IBS
SRR12268423	2980	0.007	PRJNA647266	Case	Other	CKD
SRR17430138	2980	0.007	PRJNA794154	Case	Infectious	COVID-19
SRR17430184	2980	0.007	PRJNA794154	Case	Infectious	COVID-19
SRR18268069	2980	0.007	PRJNA813503	Case	Metabolic	GDM
SRR20665805	2980	0.007	PRJNA778607	Control	Infectious	HD
ERR4264960	2979	0.007	PRJEB38930	Case	Other	AN
ERR4264998	2979	0.007	PRJEB38930	Case	Other	AN
ERR5051509	2979	0.007	PRJEB42375	Control	Gastrointestinal	IBS
S933	2979	0.007	crohns-paper_37122605	Control	Gastrointestinal	IBD
SRR10505106	2979	0.007	PRJNA590898	Case	Gastrointestinal	IBD
SRR15323199	2979	0.007	PRJNA751473	Control	Autoimmune	AD
SRR17285856	2979	0.007	PRJNA791216	Control	Autoimmune	RA
SRR17285981	2979	0.007	PRJNA791216	Case	Autoimmune	RA
SRR18268023	2979	0.007	PRJNA813503	Control	Metabolic	GDM
SRR20665850	2979	0.007	PRJNA778607	Case	Infectious	HD
SRR6308541	2979	0.007	PRJNA419104	Control	Infectious	CDI
ERR3711786	2978	0.007	PRJEB35665	Case	Cancer	Melanoma
